Reporte Scoreboard
REPORTE DE TRANSACCIONES REALIZADAS
 ID =          51, dato=  28c7f6f8a3 , Tiempo de escritura=         161, Driver de salida=          40, Tiempo de lectura=         181, Driver de llegada=          51 , Latencia=         20 
 ID =           2, dato=  141cbf51f , Tiempo de escritura=         171, Driver de salida=          10, Tiempo de lectura=         195, Driver de llegada=           2 , Latencia=         24 
 ID =          45, dato=  22c187009f , Tiempo de escritura=         203, Driver de salida=          54, Tiempo de lectura=         209, Driver de llegada=          45 , Latencia=          6 
 ID =          45, dato=  22ef7c3dd6 , Tiempo de escritura=         167, Driver de salida=          15, Tiempo de lectura=         221, Driver de llegada=          45 , Latencia=         54 
 ID =          20, dato=  1070fb7770 , Tiempo de escritura=         137, Driver de salida=           3, Tiempo de lectura=         227, Driver de llegada=          20 , Latencia=         90 
 ID =          20, dato=  106f2e3ee0 , Tiempo de escritura=         131, Driver de salida=          45, Tiempo de lectura=         247, Driver de llegada=          20 , Latencia=        116 
 ID =           4, dato=  2735da167 , Tiempo de escritura=         189, Driver de salida=          52, Tiempo de lectura=         255, Driver de llegada=           4 , Latencia=         66 
 ID =          53, dato=  29e0a371aa , Tiempo de escritura=         213, Driver de salida=           2, Tiempo de lectura=         265, Driver de llegada=          53 , Latencia=         52 
 ID =          35, dato=  1aa1926945 , Tiempo de escritura=         251, Driver de salida=          54, Tiempo de lectura=         269, Driver de llegada=          35 , Latencia=         18 
 ID =          51, dato=  28ccd01c72 , Tiempo de escritura=         239, Driver de salida=          53, Tiempo de lectura=         277, Driver de llegada=          51 , Latencia=         38 
 ID =          10, dato=  87930bac8 , Tiempo de escritura=         221, Driver de salida=          35, Tiempo de lectura=         283, Driver de llegada=          10 , Latencia=         62 
 ID =           2, dato=  12f6c669a , Tiempo de escritura=         291, Driver de salida=           1, Tiempo de lectura=         319, Driver de llegada=           2 , Latencia=         28 
 ID =           4, dato=  226176384 , Tiempo de escritura=         265, Driver de salida=          20, Tiempo de lectura=         321, Driver de llegada=           4 , Latencia=         56 
 ID =          53, dato=  29a6880df5 , Tiempo de escritura=         309, Driver de salida=          40, Tiempo de lectura=         333, Driver de llegada=          53 , Latencia=         24 
 ID =          20, dato=  101bf6f118 , Tiempo de escritura=         313, Driver de salida=           3, Tiempo de lectura=         345, Driver de llegada=          20 , Latencia=         32 
 ID =          20, dato=  100fd9658b , Tiempo de escritura=         273, Driver de salida=          53, Tiempo de lectura=         357, Driver de llegada=          20 , Latencia=         84 
 ID =          53, dato=  29a65b42b6 , Tiempo de escritura=         329, Driver de salida=          54, Tiempo de lectura=         359, Driver de llegada=          53 , Latencia=         30 
 ID =          52, dato=  290ce7ebe7 , Tiempo de escritura=         303, Driver de salida=          15, Tiempo de lectura=         387, Driver de llegada=          52 , Latencia=         84 
 ID =          25, dato=  0 , Tiempo de escritura=         395, Driver de salida=          20, Tiempo de lectura=         399, Driver de llegada=          25 , Latencia=          4 
 ID =          53, dato=  29876cea24 , Tiempo de escritura=         345, Driver de salida=          15, Tiempo de lectura=         413, Driver de llegada=          53 , Latencia=         68 
 ID =           1, dato=  8687a6ae , Tiempo de escritura=         431, Driver de salida=           2, Tiempo de lectura=         455, Driver de llegada=           1 , Latencia=         24 
 ID =          52, dato=  2940000000 , Tiempo de escritura=         401, Driver de salida=           2, Tiempo de lectura=         457, Driver de llegada=          52 , Latencia=         56 
 ID =           3, dato=  1eaaaaaaa , Tiempo de escritura=         407, Driver de salida=          53, Tiempo de lectura=         465, Driver de llegada=           3 , Latencia=         58 
 ID =          54, dato=  2a55555555 , Tiempo de escritura=         409, Driver de salida=           4, Tiempo de lectura=         465, Driver de llegada=          54 , Latencia=         56 
 ID =          15, dato=  affffffff , Tiempo de escritura=         413, Driver de salida=          10, Tiempo de lectura=         469, Driver de llegada=          15 , Latencia=         56 
 ID =           1, dato=  b841fbf3 , Tiempo de escritura=         449, Driver de salida=          10, Tiempo de lectura=         471, Driver de llegada=           1 , Latencia=         22 
 ID =          35, dato=  1aaaaaaaaa , Tiempo de escritura=         421, Driver de salida=          30, Tiempo de lectura=         473, Driver de llegada=          35 , Latencia=         52 
 ID =          20, dato=  1000000000 , Tiempo de escritura=         419, Driver de salida=          25, Tiempo de lectura=         475, Driver de llegada=          20 , Latencia=         56 
 ID =          45, dato=  22d5555555 , Tiempo de escritura=         425, Driver de salida=          40, Tiempo de lectura=         481, Driver de llegada=          45 , Latencia=         56 
 ID =          30, dato=  182aaaaaaa , Tiempo de escritura=         423, Driver de salida=          35, Tiempo de lectura=         485, Driver de llegada=          30 , Latencia=         62 
 ID =          10, dato=  83fffffff , Tiempo de escritura=         415, Driver de salida=          15, Tiempo de lectura=         487, Driver de llegada=          10 , Latencia=         72 
 ID =           1, dato=  a5461857 , Tiempo de escritura=         363, Driver de salida=          54, Tiempo de lectura=         495, Driver de llegada=           1 , Latencia=        132 
 ID =          40, dato=  2015555555 , Tiempo de escritura=         427, Driver de salida=          45, Tiempo de lectura=         503, Driver de llegada=          40 , Latencia=         76 
 ID =           1, dato=  ca72d690 , Tiempo de escritura=         441, Driver de salida=           4, Tiempo de lectura=         511, Driver de llegada=           1 , Latencia=         70 
 ID =          25, dato=  1280000000 , Tiempo de escritura=         417, Driver de salida=          20, Tiempo de lectura=         513, Driver de llegada=          25 , Latencia=         96 
 ID =           1, dato=  abe30183 , Tiempo de escritura=         437, Driver de salida=           3, Tiempo de lectura=         535, Driver de llegada=           1 , Latencia=         98 
 ID =           1, dato=  a5461857 , Tiempo de escritura=         363, Driver de salida=          54, Tiempo de lectura=         543, Driver de llegada=           1 , Latencia=        180 
 ID =           1, dato=  a38edf26 , Tiempo de escritura=         479, Driver de salida=          30, Tiempo de lectura=         563, Driver de llegada=           1 , Latencia=         84 
 ID =           1, dato=  f5887229 , Tiempo de escritura=         523, Driver de salida=          53, Tiempo de lectura=         579, Driver de llegada=           1 , Latencia=         56 
 ID =           1, dato=  f83f2a67 , Tiempo de escritura=         493, Driver de salida=          40, Tiempo de lectura=         587, Driver de llegada=           1 , Latencia=         94 
 ID =          25, dato=  1280000000 , Tiempo de escritura=         417, Driver de salida=          20, Tiempo de lectura=         587, Driver de llegada=          25 , Latencia=        170 
 ID =           1, dato=  c33e510d , Tiempo de escritura=         547, Driver de salida=          25, Tiempo de lectura=         599, Driver de llegada=           1 , Latencia=         52 
 ID =           1, dato=  be84fdcf , Tiempo de escritura=         507, Driver de salida=          51, Tiempo de lectura=         607, Driver de llegada=           1 , Latencia=        100 
 ID =           1, dato=  bba1f7bb , Tiempo de escritura=         545, Driver de salida=          15, Tiempo de lectura=         619, Driver de llegada=           1 , Latencia=         74 
